PROVEEDOR;REF.;COLONIALES;FORMATO;PRECIO/FORMATO
CAFER;10243;SACARINA CESTA 250 SOBRES;KG;2.20
CAFER;10274;TE 100 BOLSITAS;KG;1.80
CAFER;10275;TILA 100 BOLSITAS;KG;1.80
CAFER;10548;VARIANTES PICADOS 3KG;KG;1.47
CAFER;10557-1;COPOS DE AVENA 500 GR;KG;4.15
CAFER;40116;SOBRASADA 1.500 EL POZO;KG;4.53
CAFER;30171;HELADO BLOQUE TRES GUSTOS 1L;L;1.55
CAFER;40059;HIGADITOS DE POLLO;KG;1.98
CAFER;30176-1;HUESOS TERNERA CONGELADOS;KG;1.50
CAFER;30309;TARTAS VARIADAS CONGELADAS 30 RACIONES;KG;7.25
CAFER;30309;TARTAS VARIADAS CONGELADAS 30 RACIONES;KG;7.25
CAFER;30309;TARTAS VARIADAS CONGELADAS 30 RACIONES;KG;7.25
CAFER;30309;TARTAS VARIADAS CONGELADAS 30 RACIONES;KG;7.25
CAFER;30317;TORTILLON PATATA;KG;1.70
CAFER;70026-V;ICEBERG;KG;0.95
CAFER;70043;MELON PRIMERA;KG;1.60
CAFER;70026-V;ICEBERG;KG;0.95
CAFER;70043;MELON PRIMERA;KG;1.60
